Code,Long,Lat,MDS1,MDS2,jCartx,jCarty
GSA10_13,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-282.242848100031,-131.074709110674
GSA10_14,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-277.843785731198,-133.634771177512
GSA10_15,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-282.708496063093,-131.411199441147
GSA10_16,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-288.779504851701,-133.203067006883
GSA10_17,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-275.940933130013,-132.854253747654
GSA10_18,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-279.384145804571,-131.859060449865
GSA10_19,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-272.18874316931,-134.422953620892
GSA10_20,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-279.031151848922,-133.237995521691
GSA10_21,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-272.060972750636,-129.78820445795
GSA10_22,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-278.980853234494,-134.384684404698
GSA10_23,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-282.233527334483,-130.01947649863
GSA10_24,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-270.754239307607,-132.490205430579
GSA10_25,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-274.493879781554,-132.502302530747
GSA10_26,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-280.52626269188,-130.556865866822
GSA10_27,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-280.264147122467,-132.381991711226
GSA10_28,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-288.91498036653,-131.84785311554
GSA10_29,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-285.425950876141,-130.808139340174
GSA10_30,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-288.073009169364,-133.519908615169
GSA17_1,13.09985367,44.66757228,396.235443791307,929.69639661389,401.194115918807,929.543950761133
